time_seconds,time,speed,throttle,brake,steer,heart_rate,breathing_rate,GSR
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
372,0:06:12,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
